Flow_31,Flow_32,Flow_41,Flow_42,Flow_5,Speed_31,Speed_32,Speed_41,Speed_42,Speed_5,Y
0,0,0,0,0,0,0,0,0,0,0
11,4,0,0,7,82,81,0,0,75,0
8,2,0,0,0,102,104,0,0,0,0
20,10,0,1,2,93,90,0,88,86,0
47,18,1,3,6,77,75,72,75,75,0
23,6,1,3,2,59,59,54,52,3,0
25,8,0,1,0,79,79,0,72,0,0
22,6,0,1,4,90,90,0,79,75,0
103,39,2,4,6,90,86,79,86,79,0
132,49,2,7,6,90,86,88,82,82,0
82,26,2,3,6,86,86,81,81,79,0
103,37,2,8,10,90,90,86,90,82,0
135,59,5,10,7,79,79,75,75,75,0
71,23,2,0,0,32,32,34,0,0,0
105,44,2,9,11,82,82,81,79,75,0
46,13,2,0,0,64,68,64,0,0,0
58,17,4,1,0,79,79,79,75,0,0
109,44,2,5,5,86,82,77,79,75,0
30,10,1,2,0,57,57,54,52,0,0
106,46,3,7,9,93,93,90,90,82,0
125,50,1,4,6,82,82,73,79,79,0
98,49,1,5,10,86,86,81,79,79,0
135,59,3,7,7,43,43,43,43,43,0
160,65,3,7,8,72,68,68,68,68,0
124,57,2,7,10,90,90,82,88,82,0
164,60,3,7,13,46,46,43,41,43,0
232,79,5,10,7,90,90,84,82,82,0
190,72,4,9,10,93,93,82,84,82,0
279,123,8,11,12,90,90,86,82,79,0
249,108,12,15,10,93,93,90,86,86,0
249,103,6,11,11,93,93,90,86,86,0
250,110,8,11,7,97,93,90,90,86,0
14,8,0,1,0,86,86,0,18,0,0
10,4,0,1,0,79,75,0,48,0,0
187,68,4,12,12,93,93,90,86,82,0
17,7,1,1,1,88,86,36,79,79,0
1,1,0,0,0,14,14,0,0,0,0
188,78,11,12,9,97,93,90,86,86,0
170,57,4,17,9,97,93,86,90,82,0
173,75,16,12,10,100,97,93,90,90,0
170,56,2,13,8,97,97,86,86,82,0
171,77,10,15,14,97,93,88,88,88,0
160,59,3,12,7,100,100,50,70,64,0
161,74,3,15,11,104,100,93,90,90,0
3,1,0,0,0,3,3,0,0,0,0
164,59,6,13,8,108,104,97,93,90,0
160,71,3,12,8,104,100,79,86,86,0
4,1,0,0,0,3,3,0,0,0,0
165,59,5,14,9,104,100,93,90,90,0
157,66,3,12,9,104,100,97,90,90,0
136,45,2,13,8,104,104,100,93,90,0
136,55,4,10,9,104,104,95,93,90,0
147,46,4,14,8,104,102,100,93,93,0
130,55,4,10,12,100,100,93,91,81,0
13,9,0,1,2,104,100,0,90,99,0
64,20,1,4,3,90,86,79,82,82,0
